 We study Peace and Conflict Resolution in order to......#Learn how to minimize truth,Larn how to attack our enemies,Learn how to prevent and resolve conflict,All of the above:Learn how to prevent and resolve conflict
 Lack of.........is another problem of Peace Keeping#Sinners,Farmers,Cooperations among various nations' troops,Peace Keepers:Cooperations among various nations' troops
 Peace mean.........#Al-kalam,At-talak,Al-jawab,As-salam:As-salam
 Any group of people fighting a legitimate government is known as.........#Muharib,Mujahid,Murabid,Bugat:Muharib
 A terminal treaty in conflict resolution in Islamic jurisprudence is called........#Mujahadah,Ribad,Mu'aqalah,Muwada'a:Mu'aqalah
 Which among the following verses provides fundamental priciples of confilct resolution among disparing parties?#Surat Al-ikhlas,Surat Al-najm verse 10,Surat Al-kafirun verse 2,Surat Al-hujrat verse 9-10:Surat Al-hujrat verse 9-10
 The prophet (SAW) signed a treaty with Quraish to mark a terminal peace resolution in...........#Hudaibiyyah,Uhud,Hunain,tabuk:Hudaibiyyah
 Permanent or lasting resolution is the one that justifies taking what is called.........in Islamic jurisprudence#Al-jizya,Az-zakat,As-sadaqah,Al-hibah:Al-jizya
 "And hold firmly to the rope of Allah" indicates............in conflict resolution among Muslims#Unity and Brotherhood,Strict adherence to Islamic injuctions,Disbelieve in any infidelity,None of the above:Unity and Brotherhood
 Marital conflicts in Islam are at the beginning be solved by...........#Governor,Emir,Guardians,Ward head:Guardians
 Intricate conflict of spouses can only be solved by..........#Guardians,Judge,Chairman,Councillor:Judge
 In Islam national interest is achieved in contracting terminal resolutions; likewise the period of the resolution must be spelt out.#True,False,Some how,None of the above:False
 Islam and Peace are synonymous derived from.........#Kufr,Salaam,Qur'an,Peace:Salaam
 ..........is one of the Allah's (SWT) names.#As-salaam,Qur'an,Taurat,Injil:As-salaam
 Taking Islam as an example in the intra-religious conflict; sural Al-hujrat enjoys the follower to.........their differences#Reconcile,Perpetuate,Mar,Husle:Reconcile
 Prophet Muhammad (SAW) said "He who makes peace among people by inventing good information or saying good things is not a liar#True,False,Just lied a little,None of the above:True
 Which of the followings is part of progress of conflict resolution in Islam?#Sulh,Tahkim,Sahih,All of the above:Sulh
 Marital discords in Islam are settled through...........#Court,Intervention of two third parties,Gurdians,All of the above:All of the above
 Aspect of peace and conflict resolution in Islam could be dated back to.........#Beginning of the history of Islam,After Hijra,After Badar,During sulhu Hudaibiyyah:Beginning of the history of Islam
 Nigeria being a multi-religious political entity; there is absolute need for.........#Politics,Peaceful co-existence among the various religious group,Good management of resource,Regional government:Peaceful co-existence among the various religious group
 On Nigeria-Cameroon boarder dispute; a peace talk was held in New York between........#Obasanjo Paul Biya and Kofi Anan,Obasanjo   Kofi Anan and Dr. A. Muri,Richard Akinjide   Paul Biya nad Kofi Anan,Obasanjo    Dr. Ni'iya and Kofi Anan:Obasanjo Paul Biya and Kofi Ana
 The followings are some of the factors that led to social unrest in African societies except........#High leve of corruption,Low level of enlightenment,Lack of good governance,Lack of good will:Lack of good will
 Conflict management is a process of resolving conflict through one of the following.......#Conflict Resolution,Conflict settelement,All of the above,None of the above:Conflict Resolution
 The process of listening to the argument of two or more parties is known as.......#Negotiation,Peacemaking,Dialogue,All of the above:Negotiation
 Reconciliation of differences and offering of apology is an example of...........#Peace offering,Peace building,All of the above,None of the above:Peace building
 Public enlightenment   high level of literacy and good health are good example of.......#Honesty,Equity,Peace,All of the above:All of the above
 The followings are component of violence except...........#Hunger,Tension,Stability,Crisis:Stability
 Conflict is a product of disagreement that is rooted in divergent of........#Opinion and interest,Wants and Demand,Ideas and Interest,Ideas and Goals:Ideas and Interest
 During the post colonial period the conflict over the important city of Warri among the three most important tribes is largely because of........#Militant activities,Killing of Ken Sarowiwa,Rapid urbanization of the city,The Itsekeris have grown in considerable number:Rapid urbanization of the city
 When the British came to Warri they had first contact with........#The Ijaws,The Urhobo,The Itsekiris,None of the above:The Itsekiris
 1999 Shagamu crisis is a good example.........#Inter-tribal conflict,Intra-tribal conflict,Inter-religious conflict,Ife-Modakeke conflict:Inter-tribal conflict
 ............is what brought about the Zaki-Biyam ehtnic cleansing by the Nigerian Army.#Killing of commuters during the crisis,Killing of twelve Nigerian Army by Tiv militias,Maltreatment of General Victor Malu's tribe by General Obasanjo,lack of respect to the soldiers by the inhabitants:Killing of twelve Nigerian Army by Tiv militias
 ............is always a contentious issue in the realtionship between the Tiv and the Jukuns.#Desire of controlling local government ship of Wukari,Both of the tribes are inhabitants of Wukari local government,The Tiv have many retired military personnels,Being Wukari the most fertile land in Taraba state:Desire of controlling local government ship of Wukari
 While Alhaji Sulaiman Adamu was the Inspector General of Police during Maitatsine Kano conflict; Who was acting Commissioner of Police in Kano?#Mr. Goodluck Jonathan,Mr. Pogoson Goodluck,Mr. Pogoson Jonathan,Mr. Pogoson Edward:Mr. Pogoson Jonathan
 The cause of 2001 Kano ethno-religious conflict was drawing of cartoon of.......#Jesus Crist,Dan Fodio,Prophet Muhammad (SAW),Isiyaka Rabi'u:Prophet Muhammad (SAW)
 The United States of America's attacks of school of Kindergarten in the attempt to fight "terrorist" was widely condemned by international communities because.........#It violated rule of war,There was no sympathy in the attack,Of World Trade Center,None of the above:It violated rule of war
 Nigerian Civil War in 1967-1970 was a national disaster fell on the country between.........#Hausa and Yoruba,Yoruba and Igbo,Nigeria and British,None of the above:None of the above
 Ethno-religious conflicts in Nigeria are mostly associated with..........#Unemployment,Lack awareness,Low level literacy,All of the above:All of the above
 One's ability to remember past negative experience is an example of.........#Political theory of conflict,Psychological theory of conflict,Realist theory of conflict,All of the above:Psychological theory of conflict
 ...........is among factors that resolve ethno-religious conflicts in Nigeria.#Hateness among people of different tribes,Tolerance and Revenge,Tolerance among different ethno-religious groups,None of the above:Tolerance among different ethno-religious groups
 Provision of more job opportunities by government at different levels is a factor that eliminates.........in Nigeria.#Crisis,Conflict,Uprising,All of the above:Conflict
